Created_Date,Complaint_Type,Descriptor
2013-10-19 23:30:44,Illegal Parking,Commercial Overnight Parking
2013-10-19 23:22:27,Illegal Parking,Double Parked Blocking Vehicle
2013-10-19 23:07:25,Illegal Parking,Commercial Overnight Parking
2013-10-19 23:03:13,Illegal Parking,Commercial Overnight Parking
2013-10-19 22:48:24,Illegal Parking,Double Parked Blocking Traffic
2013-10-19 22:42:41,Illegal Parking,Blocked Sidewalk
2013-10-19 22:31:18,Illegal Parking,Commercial Overnight Parking
2013-10-19 21:32:10,Illegal Parking,Blocked Sidewalk
2013-10-19 20:54:04,Illegal Parking,Commercial Overnight Parking
2013-10-19 20:05:34,Illegal Parking,Blocked Hydrant
2013-10-19 19:56:34,Illegal Parking,Blocked Sidewalk
2013-10-19 19:20:38,Illegal Parking,Blocked Sidewalk
2013-10-19 19:19:01,Illegal Parking,Double Parked Blocking Vehicle
2013-10-19 19:08:12,Illegal Parking,Posted Parking Sign Violation
2013-10-19 18:50:00,Illegal Parking,Blocked Sidewalk
2013-10-19 17:57:35,Illegal Parking,Double Parked Blocking Traffic
2013-10-19 17:49:13,Illegal Parking,Blocked Hydrant
2013-10-19 17:46:02,Illegal Parking,Commercial Overnight Parking
2013-10-19 17:15:48,Illegal Parking,Double Parked Blocking Traffic
2013-10-19 16:53:08,Illegal Parking,Blocked Hydrant
2013-10-19 16:20:22,Illegal Parking,Overnight Commercial Storage
2013-10-19 16:04:27,Illegal Parking,Posted Parking Sign Violation
2013-10-19 13:37:11,Illegal Parking,Blocked Sidewalk
2013-10-19 12:47:42,Illegal Parking,Double Parked Blocking Traffic
2013-10-19 12:22:19,Illegal Parking,Posted Parking Sign Violation
2013-10-19 10:31:12,Illegal Parking,Blocked Hydrant
2013-10-19 09:56:57,Illegal Parking,Double Parked Blocking Traffic
2013-10-19 09:32:07,Illegal Parking,Posted Parking Sign Violation
2013-10-19 09:19:45,Illegal Parking,Posted Parking Sign Violation
2013-10-19 09:01:25,Illegal Parking,Posted Parking Sign Violation
2013-10-19 08:02:35,Illegal Parking,Blocked Hydrant
2013-10-19 08:00:29,Illegal Parking,Posted Parking Sign Violation
2013-10-19 07:00:13,Illegal Parking,Blocked Hydrant
2013-10-19 02:51:12,Illegal Parking,Posted Parking Sign Violation
